;model;batch_size;prepocess_time;inference_time;postprocess_time;total_time;avg_fps
0;yolov8n.pt;1;1.3230545352203678;18.557902538415156;3.11959632719406;23.000553400829585;43.477214768403435
1;yolov8n.pt;2;3.778790941043776;9.341361571331413;2.4701478529949576;15.590300365370148;64.14244604428812
2;yolov8n.pt;4;2.3534918824831643;6.94284588098526;1.7956197261810303;11.091957489649454;90.15541223748447
3;yolov8n.pt;8;2.010697668248957;4.918987100774592;1.541460102254694;8.471144871278243;118.04779816604722
4;yolov8n.pt;16;2.362731099128723;3.7816375494003296;1.8472611904144287;7.9916298389434814;125.13092074497322
5;yolov8s.pt;1;1.161389880710178;18.61033776793817;3.4962133927778765;23.267941041426226;42.97758870110599
6;yolov8s.pt;2;2.7928936238191566;9.784734978967784;3.5978798963585676;16.175508499145508;61.82185864838971
7;yolov8s.pt;4;2.030829588572184;7.815537353356679;2.991035580635071;12.837402522563934;77.89737824628686
8;yolov8s.pt;8;2.447025342421098;7.560041817751798;2.0843039859424937;12.09137114611539;82.70360639134555
9;yolov8s.pt;16;1.8483012914657593;6.469711661338806;1.454085111618042;9.772098064422607;102.3321699605852
10;yolov8m.pt;1;1.441351091018831;24.679489810057362;2.169423633151584;28.290264534227777;35.34784903796576
11;yolov8m.pt;2;2.911139507682956;23.030733575626297;2.7837631653766244;28.725636248685877;34.81210968985056
12;yolov8m.pt;4;2.373345196247101;21.57180259625117;1.8204177419344585;25.765565534432728;38.81149042366699
13;yolov8m.pt;8;2.4292062629352915;19.20081539587541;1.5281465920535;23.158168250864204;43.18130817460844
14;yolov8m.pt;16;2.188482880592346;14.302963018417358;2.1443456411361694;18.635791540145874;53.66018383741657
15;yolov8l.pt;1;1.4545941593671086;37.38241003017233;2.995652381819908;41.832656571359344;23.904769191365396
16;yolov8l.pt;2;2.7417723013430226;39.36571977576431;2.4626157721694635;44.570107849276795;22.43656226683836
17;yolov8l.pt;4;2.757479747136434;39.73547120889028;2.7045831084251404;45.19753406445185;22.125100864440885
18;yolov8l.pt;8;2.227311784570867;34.5043648372997;2.1629956635561856;38.89467228542674;25.710462159484116
19;yolov8l.pt;16;2.530449628829956;25.174927711486816;1.7581790685653687;29.46355640888214;33.940234034291194
20;yolov8x.pt;1;1.514254194317442;61.81409623887804;2.146313888858063;65.47466432205354;15.273083265937025
21;yolov8x.pt;2;2.175138921153789;68.05118492671421;1.658729144505092;71.88505299237309;13.911097764734189
22;yolov8x.pt;4;2.1703516443570456;69.14178530375163;2.0438234011332193;73.3559603492419;13.632157431230938
23;yolov8x.pt;8;2.40707126530734;54.626646366986364;1.6442699865861372;58.67798761887984;17.042165905468895
24;yolov8x.pt;16;2.3410677909851074;42.32001006603241;1.832553744316101;46.49363160133362;21.508322012241265
